task,model,selection_case,error_key,n_selected_seeds,selected_error_mean,selected_error_std,selected_error_min,selected_error_max,summary_best_point_min,summary_best_point_max
task31,graphconv,case118,PBL Mean,3,2.445621446534699,0.05457457438226462,2.3903526754940256,2.5199098615085376,24,84
task31,graphconv,case14,PBL Mean,3,0.24259753314887775,0.0023719388914351567,0.24044978268006267,0.24590289154473474,89,99
task31,graphconv,case30,PBL Mean,3,0.20557364254605537,0.003010058815240272,0.20273732402745415,0.20974082964308122,29,94
task31,graphconv,case500,PBL Mean,3,19.37247647304161,0.14617429902683385,19.246137506821576,19.577347183227538,39,89
task31,graphconv,case57,PBL Mean,3,1.1181142671435487,0.01574491358290482,1.1036011001643014,1.1399954683640423,49,69
task32,graphconv,case14_30_57,PBL Mean,3,0.7355674046209488,0.0060863835945085135,0.7274409142033808,0.7420875204020533,29,74
task33,graphconv,case118_500,PBL Mean,3,17.23494121763441,0.36555024976857703,16.746922930081684,17.626663227876026,19,99
task34,graphconv,case14_30_118,PBL Mean,3,7.645167789925104,0.37625188960974487,7.12407968167601,7.998978205795946,4,34
task34,graphconv,case30_57_118,PBL Mean,3,7.738888287681273,0.046571211971856506,7.677780909784909,7.790719498848093,24,74
task34,graphconv,case30_57_500,PBL Mean,3,7.697180963795761,0.33621672089320137,7.251018501561264,8.062623770072543,24,84
task34,graphconv,case57_118_500,PBL Mean,3,7.52558752038013,0.24444496497036056,7.181124097314374,7.723092220980545,29,94
task31,powerflownet,case118,PBL Mean,3,0.3871094522522945,0.010557720671814656,0.37242959141731263,0.3968104127575369,54,79
task31,powerflownet,case14,PBL Mean,3,0.056338405872092524,0.0068854698910081015,0.04764111024491927,0.06447945793761926,49,89
task31,powerflownet,case30,PBL Mean,3,0.05493458785554942,0.0014068712902668631,0.053302663257893394,0.056736220901503286,39,74
task31,powerflownet,case500,PBL Mean,3,4.788974010243135,0.08221069261142742,4.697158387128044,4.896650061887853,84,99
task31,powerflownet,case57,PBL Mean,3,0.2134590272809945,0.006654441359539311,0.20448035387431873,0.22038966540028068,69,94
task32,powerflownet,case14_30_57,PBL Mean,3,0.20401753519458332,0.010687792922007753,0.19209879251389667,0.21802681684494019,59,99
task33,powerflownet,case118_500,PBL Mean,3,9.681268837716845,0.12229175828741677,9.568265323837599,9.851152981321016,84,99
task34,powerflownet,case14_30_118,PBL Mean,3,2.4209878196318946,0.10305569179976388,2.2754496140726683,2.500441715635102,89,99
task34,powerflownet,case30_57_118,PBL Mean,3,2.4603078589699736,0.07199930430896564,2.39638867100765,2.5609085688303255,94,99
task34,powerflownet,case30_57_500,PBL Mean,3,2.4848019148426492,0.09011471198901091,2.3584128448675417,2.5621507501807708,84,99
task34,powerflownet,case57_118_500,PBL Mean,3,2.5031491504318413,0.039997300371418215,2.452354084314971,2.5501006158261466,89,99
