task,model,selection_case,seed,seed_slot,error_key,selected_error,summary_best_point_raw,summary_best_point,curve_n_points,curve_first_epoch,curve_first_value,curve_mid_epoch,curve_mid_value,curve_last_epoch,curve_last_value,curve_best_epoch,curve_best_value,global_error_rank,line_label,run_path
task31,graphconv,case118,42,0,PBL Mean,2.426601802601534,84,84,17,4,3.1266377084395467,44,2.458940455492805,84,2.426601802601534,24,2.4031992743997015,33,task31|graphconv|case118|seed=42|bp=84|err=2.426602,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=42_case=case118_layers=15_lr=1e-4_43_260201_171133
task31,graphconv,case118,43,1,PBL Mean,2.5199098615085376,44,44,9,4,3.289160773333381,24,2.2177790543612312,44,2.5199098615085376,24,2.2177790543612312,38,task31|graphconv|case118|seed=43|bp=44|err=2.519910,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=43_case=case118_layers=15_lr=1e-4_103_260206_210535
task31,graphconv,case118,44,2,PBL Mean,2.3903526754940256,24,24,5,4,2.8930380821228026,14,2.4592575073242187,24,2.3903526754940256,24,2.3903526754940256,30,task31|graphconv|case118|seed=44|bp=24|err=2.390353,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case118/seed=44_case=case118_layers=15_lr=1e-4_163_260212_231000
task31,graphconv,case14,42,0,PBL Mean,0.24143992522183585,89,89,20,4,0.3385517362286063,54,0.25950367433183336,99,0.24726327184368582,69,0.23430776596069336,17,task31|graphconv|case14|seed=42|bp=89|err=0.241440,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=42_case=case14_layers=10_lr=5e-4_25_260131_234120
task31,graphconv,case14,43,1,PBL Mean,0.24044978268006267,94,94,20,4,0.33656169351409465,54,0.27086804649409124,99,0.26771881983560675,94,0.24044978268006267,16,task31|graphconv|case14|seed=43|bp=94|err=0.240450,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=43_case=case14_layers=10_lr=1e-4_80_260203_135218
task31,graphconv,case14,44,2,PBL Mean,0.24590289154473474,99,99,20,4,0.33790831074995153,54,0.2614170598633149,99,0.24590289154473474,94,0.23477367530850804,18,task31|graphconv|case14|seed=44|bp=99|err=0.245903,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case14/seed=44_case=case14_layers=15_lr=1e-4_160_260212_140621
task31,graphconv,case30,42,0,PBL Mean,0.20974082964308122,34,34,11,4,0.2558585393078187,29,0.21283037732629215,54,0.21601257850142086,39,0.20653162037625034,12,task31|graphconv|case30|seed=42|bp=34|err=0.209741,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case30/seed=42_case=case30_layers=10_lr=5e-4_26_260201_010238
task31,graphconv,case30,43,1,PBL Mean,0.20424277396763071,29,29,10,4,0.2425884302924661,29,0.20424277396763071,49,0.22051810394315158,29,0.20424277396763071,10,task31|graphconv|case30|seed=43|bp=29|err=0.204243,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case30/seed=43_case=case30_layers=10_lr=5e-4_86_260204_065718
task31,graphconv,case30,44,2,PBL Mean,0.20273732402745415,94,94,20,4,0.2572403239853242,54,0.2136647459338693,99,0.21419611608280856,94,0.20273732402745415,9,task31|graphconv|case30|seed=44|bp=94|err=0.202737,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case30/seed=44_case=case30_layers=15_lr=5e-4_166_260213_045313
task31,graphconv,case500,42,0,PBL Mean,19.577347183227538,89,89,20,4,20.231425700468176,54,18.99233591416303,99,20.24386641558479,69,18.57440959706026,66,task31|graphconv|case500|seed=42|bp=89|err=19.577347,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case500/seed=42_case=case500_layers=10_lr=1e-4_24_260131_213309
task31,graphconv,case500,43,1,PBL Mean,19.246137506821576,39,39,9,4,20.501171897439395,24,21.018526728012983,44,19.995892760332893,19,18.88585884991814,64,task31|graphconv|case500|seed=43|bp=39|err=19.246138,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case500/seed=43_case=case500_layers=5_lr=5e-3_79_260203_121714
task31,graphconv,case500,44,2,PBL Mean,19.29394472907571,69,69,14,4,17.2515349668615,39,20.14959882848403,69,19.29394472907571,4,17.2515349668615,65,task31|graphconv|case500|seed=44|bp=69|err=19.293945,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case500/seed=44_case=case500_layers=15_lr=1e-4_164_260213_000154
task31,graphconv,case57,42,0,PBL Mean,1.1399954683640423,69,69,18,4,1.3334283029331881,49,1.1710424872005687,89,1.1885274901109584,34,1.1208428971907671,27,task31|graphconv|case57|seed=42|bp=69|err=1.139995,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case57/seed=42_case=case57_layers=15_lr=5e-4_47_260201_233107
task31,graphconv,case57,43,1,PBL Mean,1.1036011001643014,49,49,14,4,1.237378210179946,39,1.165010983803693,69,1.207236141317031,49,1.1036011001643014,25,task31|graphconv|case57|seed=43|bp=49|err=1.103601,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/graphconv/case57/seed=43_case=case57_layers=15_lr=1e-3_112_260207_210510
